timestamp,ts,x,y,z,std,roll,pitch,yaw,type,status,format
1637086687.133896,1550140654.4987805,21404.420513508572,31756.688640920092,-1359.5650492829468,340702.8473210837,-0.5936302048634369,-0.544168869656713,-6.288305391728179,position_local,0,json_v2
1637086687.494621,1550140654.749247,21411.898499545383,31767.447158923962,-1359.6373187869933,340848.28484408575,-0.603727461400426,-0.5457162421153923,-6.287176588097227,position_local,0,json_v2
1637086687.737708,1550140655.0512958,21420.916949249266,31780.4240854183,-1359.7251665526337,341023.72429620416,-0.5922150199366003,-0.5516728624840238,-6.290797566931528,position_local,0,json_v2
1637086687.996593,1550140655.3488965,21429.802288952334,31793.212116382467,-1359.8102586514601,341196.63324106124,-0.596368120385521,-0.5469128776294485,-6.29189369173421,position_local,0,json_v2
1637086688.222382,1550140655.5988126,21437.264906990204,31803.9526798273,-1359.8810014257974,341341.8775253387,-0.6110812807751848,-0.5362293354139859,-6.277520211737822,position_local,0,json_v2
1637086688.586233,1550140655.8532722,21444.864001715116,31814.889289802326,-1359.9528217624056,341489.8004586185,-0.6022804551714641,-0.5455912066057134,-6.260462371422948,position_local,0,json_v2
1637086688.707071,1550140656.0545523,21450.876547312877,31823.541039216783,-1360.008319668825,341606.836227043,-0.6004624467166335,-0.5637865004405324,-6.275047447955252,position_local,0,json_v2
1637086688.946233,1550140656.3239403,21458.924374500766,31835.121990954987,-1360.0835921769847,341763.5111965657,-0.5993209345865544,-0.5597650217309807,-6.268669358352454,position_local,0,json_v2
1637086689.307727,1550140656.5737267,21466.387143984277,31845.862024177106,-1360.1526227007346,341908.8247108714,-0.5993204030263999,-0.5622518212902782,-6.27114567425378,position_local,0,json_v2
1637086689.546008,1550140656.79916,21473.122963340924,31855.55699594569,-1360.2142127712052,342040.00263778394,-0.5999929939618731,-0.5587834003845868,-6.261646184260918,position_local,0,json_v2
1637086689.787335,1550140657.0545058,21480.75420593494,31866.539839270194,-1360.283113855264,342188.6225344924,-0.5918950882839618,-0.5575458486255899,-6.274347222000871,position_local,0,json_v2
1637086690.044055,1550140657.3736703,21490.296873044063,31880.27037644597,-1360.368863605201,342374.4413539692,-0.6007030924219422,-0.559065035612657,-6.294901759133359,position_local,0,json_v2
1637086690.384792,1550140657.6519215,21498.618470523365,31892.243720261904,-1360.442772462305,342536.49012479634,-0.608823971000858,-0.5655196098110261,-6.288915741766951,position_local,0,json_v2
1637086690.628067,1550140657.8739574,21505.260707726196,31901.799780720547,-1360.4995721879495,342665.83309614204,-0.6205286450594718,-0.573114197867268,-6.294901521583208,position_local,0,json_v2
1637086690.861817,1550140658.17428,21514.247114193662,31914.72731091341,-1360.574675759538,342840.8267838197,-0.6271099145062504,-0.5507421745165144,-6.290796001995044,position_local,0,json_v2
